ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0002-6496-7646,0,10,1,7,0.153846154,0,1,-0.03956044
0000-0002-6507-9464,0,14,1,9,0.041666667,1,1,0.106060606
0000-0002-6526-5937,0,59,1,11,0.6,0,0,-0.52
0000-0002-6550-132X,0,5,1,4,0.085106383,0,0,0.186080058
0000-0002-6581-0544,0,11,1,9,0.285714286,0,1,-0.224489796
0000-0002-6590-0603,0,7,1,5,0.111111111,0,0,-0.074074074
0000-0002-6604-1097,0,0,1,0,0,1,1,0
0000-0002-6612-5127,0,5,1,5,0.111111111,1,1,-0.027777778
0000-0002-6616-6244,1,2,1,7,0.019607843,0,0,0.008963585
0000-0002-6622-6876,0,7,1,8,0,3,1,0.135135135
0000-0002-6630-5822,0,0,1,0,0,0,1,0
0000-0002-6638-3652,0,11,1,6,0.107142857,0,0,-0.009581882
0000-0002-6640-0731,0,4,1,3,0.085106383,0,1,-0.085106383
0000-0002-6643-8975,0,3,1,5,0.071428571,0,1,-0.071428571
0000-0002-6653-7594,0,13,1,4,0.411764706,0,1,0.137254902
0000-0002-6670-0232,0,10,1,8,0.102564103,1,1,-0.041025641
0000-0002-6685-8590,1,0,1,0,0,0,1,0.044444444
0000-0002-6701-8980,0,2,1,2,0,1,1,0.056338028
0000-0002-6712-0555,1,5,1,2,0.018181818,0,1,0.25959596
0000-0002-6719-2567,0,1,1,2,0.017857143,0,1,-0.017857143
0000-0002-6734-5148,1,3,1,3,0.042553191,0,0,0.100303951
0000-0002-6748-2097,0,10,1,6,0,3,1,0.333333333
0000-0002-6758-2151,0,17,1,5,0.130434783,3,1,0.388083736
0000-0002-6779-2511,0,0,1,0,0,0,0,0
0000-0002-6780-114X,0,44,1,7,0.525,0,1,-0.252272727
0000-0002-6784-9653,0,10,1,5,0.191489362,0,0,0.284701114
0000-0002-6787-0794,0,10,1,8,0.111111111,1,1,-0.111111111
0000-0002-6791-0581,0,10,1,4,0,2,1,0.160714286
0000-0002-6794-2962,0,2,1,7,0.034482759,0,0,0.251231527
0000-0002-6825-3536,1,10,1,6,0.176470588,0,1,0.531862745
0000-0002-6832-3127,0,0,1,0,0,0,0,0.091836735
0000-0002-6859-5683,0,22,1,6,0.368421053,0,1,-0.080542265
0000-0002-6860-755X,1,1,1,2,0.066666667,0,0,-0.066666667
0000-0002-6863-6561,0,7,1,4,0.208333333,0,1,0.458333333
0000-0002-6889-2506,0,14,1,5,0,0,1,1.068965517
0000-0002-6894-7271,0,4,1,2,0.106382979,0,1,-0.024750326
0000-0002-6919-4689,1,1,1,1,0.055555556,0,1,-0.015015015
0000-0002-6919-9498,0,32,1,11,0,3,1,0.4375
0000-0002-6924-3428,0,11,1,4,0.083333333,1,1,0.358527132
0000-0002-6925-1268,0,20,1,11,0.224137931,1,1,-0.182471264
0000-0002-6929-3230,1,0,1,0,0,0,0,0.025641026
0000-0002-6962-1169,0,4,1,5,0.081081081,0,1,0.038918919
0000-0002-6970-8221,0,75,1,11,0.707692308,0,1,-0.359866221
0000-0002-6985-3656,0,5,1,6,0,0,1,0.257142857
0000-0002-6989-0174,0,1,1,2,0.05,0,0,0.005555556
0000-0002-7000-9540,0,3,1,2,0,3,1,0
0000-0002-7002-4337,0,0,1,0,0,3,1,0.116883117
0000-0002-7018-6862,0,15,1,5,0.083333333,2,1,-0.083333333
0000-0002-7102-0864,0,16,1,24,0,0,0,0
0000-0002-7104-7223,0,14,1,10,0.097222222,0,0,-0.036616162
0000-0002-7104-9915,0,22,1,11,0.222222222,0,1,0.505050505
0000-0002-7124-4032,1,7,1,4,0,0,1,0.366666667
0000-0002-7135-723X,0,47,1,12,0.428571429,3,1,-0.380952381
0000-0002-7158-9559,0,35,1,6,0,1,1,0.378378378
0000-0002-7166-5443,0,151,1,19,0,1,1,1.745098039
0000-0002-7173-3354,0,0,1,0,0,0,0,0.020833333
0000-0002-7202-092X,0,27,1,4,0.142857143,1,1,0.322259136
0000-0002-7203-6008,1,2,1,3,0,0,1,0.137931034
0000-0002-7222-2265,0,0,1,0,0,0,0,0
0000-0002-7258-6966,1,2,1,2,0.033333333,0,0,0.175
0000-0002-7259-1044,0,3,1,3,0,2,1,0.255319149
0000-0002-7268-4785,0,6,1,4,0,0,0,0.25
0000-0002-7271-9888,0,10,1,6,0.230769231,0,0,-0.230769231
0000-0002-7294-0865,0,6,1,2,0,2,1,0.237623762
0000-0002-7296-3573,0,10,1,7,0.053571429,0,1,0.027073733
0000-0002-7329-4236,0,31,1,9,0.3125,3,1,0.582236842
0000-0002-7339-7593,0,44,1,10,0.477777778,0,1,-0.425146199
0000-0002-7392-3709,0,5,1,8,0.076923077,0,1,0.211212516
0000-0002-7416-1558,1,11,1,7,0.178571429,0,0,0.25621118
0000-0002-7419-2047,0,0,1,0,0.024691358,1,1,-0.024691358
0000-0002-7422-8206,0,10,1,5,0.116883117,3,1,0.023116883
0000-0002-7441-2417,0,15,1,6,0.228571429,3,1,-0.08968254
0000-0002-7442-3239,0,0,1,0,0,3,1,0.066666667
0000-0002-7465-9356,0,4,1,5,0.071428571,0,1,0.028571429
0000-0002-7484-2644,0,0,1,0,0,3,1,0.011235955
0000-0002-7486-4763,0,11,1,6,0.2,3,0,0.085714286
0000-0002-7495-7994,1,8,1,3,0.177777778,0,1,0.155555556
0000-0002-7523-4827,0,0,1,0,0,3,1,0.06
0000-0002-7525-5943,0,4,1,8,0,3,1,0.242105263
0000-0002-7530-8312,0,5,1,5,0,2,1,0.136986301
0000-0002-7537-4627,0,8,1,9,0.023255814,0,1,0.344391245
0000-0002-7543-6779,0,1,1,1,0,0,1,0
0000-0002-7553-7131,0,22,1,9,0.265306122,0,0,0.628027211
0000-0002-7565-9665,0,13,1,6,0.024390244,3,1,0.155096936
0000-0002-7568-7658,0,0,1,0,0,0,0,0.035087719
0000-0002-7616-3493,0,5,1,5,0,3,1,0.084210526
0000-0002-7631-2495,0,1,1,2,0.016666667,0,0,0.15
0000-0002-7668-1522,0,0,1,0,0,1,1,0.033333333
0000-0002-7670-7948,1,0,1,0,0,0,0,0.172413793
0000-0002-7686-8063,0,1,1,1,0.027777778,0,0,0.000793651
0000-0002-7721-1266,0,15,1,10,0.071428571,3,1,0.224025974
0000-0002-7723-3676,0,33,1,8,0.389830508,3,1,-0.315756434
0000-0002-7731-2147,0,0,1,0,0,0,1,0.016129032
0000-0002-7742-849X,1,14,1,6,0.114285714,0,1,-0.057142857
0000-0002-7752-1192,1,21,1,6,0.020408163,0,0,0.246258503
0000-0002-7763-4883,0,2,1,4,0,2,1,0.153846154
0000-0002-7772-458X,0,0,1,0,0,0,1,0.032258065
0000-0002-7784-2850,0,4,1,3,0.046153846,2,1,0.064957265
0000-0002-7800-3557,0,11,1,6,0.222222222,0,0,0.337777778
0000-0002-7811-1232,0,9,1,4,0.169491525,0,0,0.274952919
0000-0002-7848-6392,0,11,1,6,0.214285714,1,1,0.071428571
0000-0002-7859-0616,0,41,1,9,0.210526316,1,1,-0.210526316
0000-0002-7861-3646,0,19,1,6,0.275862069,0,1,-0.146232439
0000-0002-7887-1055,1,2,1,3,0.035087719,0,0,0.115855677
0000-0002-7893-0844,0,7,1,8,0.194444444,0,0,-0.141812865
0000-0002-7897-0205,0,19,1,11,0.125,0,1,0.075
0000-0002-7906-8061,0,29,1,7,0.476923077,0,1,0.037362637
0000-0002-7967-8927,0,19,1,14,0.153846154,0,1,0.073426573
0000-0002-7973-5979,0,14,1,8,0,1,1,0
0000-0002-7992-3961,1,6,1,4,0.104166667,0,1,-0.104166667
0000-0002-7993-6965,0,8,1,8,0.15,0,0,0.213636364
0000-0002-7996-8887,0,14,1,7,0.24137931,0,1,-0.190531853
0000-0002-8009-4865,0,7,1,8,0.108108108,2,1,0.016891892
0000-0002-8010-6045,0,0,1,0,0,0,0,0.029411765
0000-0002-8038-431X,0,12,1,7,0.208333333,0,1,0.375
0000-0002-8109-5982,1,11,1,5,0.333333333,0,1,0.242009132
0000-0002-8116-5215,1,0,1,0,0,0,1,0.029411765
0000-0002-8121-4814,0,11,1,5,0.166666667,0,0,-0.166666667
0000-0002-8123-8453,0,0,1,0,0,0,1,0.018518519
0000-0002-8139-3912,0,1,1,1,0.02173913,0,1,-0.02173913
0000-0002-8155-7040,0,0,1,0,0,3,1,0.012048193
0000-0002-8177-7641,0,13,1,5,0.180555556,1,1,0.00462963
0000-0002-8184-2669,0,10,1,5,0.228571429,0,0,-0.228571429
0000-0002-8196-9934,0,1,1,1,0.022222222,2,1,-0.022222222
0000-0002-8223-3486,0,0,1,0,0,0,0,0
0000-0002-8223-8711,0,2,1,2,0,3,1,0.086206897
0000-0002-8227-9177,1,20,1,7,0.083333333,0,1,0.33974359
0000-0002-8243-3760,1,6,1,5,0.111111111,0,1,-0.037037037
0000-0002-8289-2326,0,9,1,7,0,3,1,0.092436975
0000-0002-8294-8086,0,6,1,3,0.047058824,2,1,0.244607843
0000-0002-8301-6790,0,5,1,6,0.026315789,0,0,0.147597254
0000-0002-8309-0341,0,9,1,8,0.096774194,1,1,-0.059737157
0000-0002-8330-9913,0,9,1,4,0,0,1,0.237623762
0000-0002-8353-570X,1,0,1,0,0,0,1,0.047619048
0000-0002-8356-6653,0,14,1,6,0.157142857,3,1,0.089010989
0000-0002-8357-9307,0,3,1,6,0.044444444,0,0,-0.044444444
0000-0002-8386-9515,0,0,1,0,0,0,1,0
0000-0002-8401-5538,0,25,1,10,0.076923077,0,0,0.037362637
0000-0002-8402-029X,0,28,1,9,0,1,1,0.103448276
0000-0002-8421-7244,0,1,1,1,0.022222222,0,0,0.406349206
0000-0002-8428-8982,0,40,1,10,0.26984127,0,0,-0.039072039
0000-0002-8488-9833,0,7,1,4,0.142857143,0,1,0.203809524
0000-0002-8491-2511,1,1,1,2,0.027777778,0,0,0.027777778
0000-0002-8511-6111,0,13,1,7,0.129032258,0,0,0.10906298
0000-0002-8526-5520,0,13,1,20,0,3,0,0.07079646
0000-0002-8529-8613,0,0,1,0,0.025641026,0,0,0.057692308
0000-0002-8573-2547,0,0,1,1,0,1,1,0.044247788
0000-0002-8631-5649,0,9,1,4,0,1,1,0.033333333
0000-0002-8631-8102,1,0,1,0,0,0,0,0.024390244
0000-0002-8676-4794,0,16,1,7,0.310344828,3,1,-0.310344828
0000-0002-8687-8142,1,0,1,1,0,0,1,0.095238095
0000-0002-8688-1085,0,24,1,10,0.203389831,0,1,-0.044298921
0000-0002-8690-374X,1,2,1,1,0.041666667,0,1,-0.041666667
0000-0002-8710-4122,0,14,1,8,0.126436782,1,1,0.108257096
0000-0002-8737-099X,0,3,1,5,0,2,1,0.025974026
0000-0002-8738-3117,0,35,1,11,0.5625,0,1,-0.5625
0000-0002-8744-9083,0,3,1,3,0.056338028,1,1,0.193661972
0000-0002-8756-8445,0,21,1,8,0.231578947,0,1,-0.231578947
0000-0002-8768-1958,0,0,1,0,0,0,1,0.042105263
0000-0002-8768-4366,0,17,1,7,0.393939394,1,1,-0.090909091
0000-0002-8792-0533,0,54,1,11,0.241935484,3,1,-0.241935484
0000-0002-8799-3572,1,0,1,0,0,0,0,0.035714286
0000-0002-8800-5898,0,7,1,3,0.145833333,0,1,-0.145833333
0000-0002-8807-9264,1,6,1,2,0.14893617,0,1,-0.065602837
0000-0002-8814-525X,0,24,1,7,0.333333333,0,1,-0.01754386
0000-0002-8854-9756,0,10,1,5,0.114942529,0,0,-0.114942529
0000-0002-8856-5078,0,20,1,9,0.127906977,0,1,0.512093023
0000-0002-8861-8192,0,19,1,13,0.2,0,0,-0.2
0000-0002-8876-128X,0,0,1,0,0,2,1,0.083333333
0000-0002-8902-8653,0,3,1,4,0.085714286,0,0,-0.033082707
0000-0002-8919-1338,0,0,1,0,0,3,1,0.075
0000-0002-8919-6884,0,8,1,3,0,3,1,0.698113208
0000-0002-8924-4890,0,11,1,5,0.222222222,0,1,0.023391813
0000-0002-8950-4496,0,19,1,8,0.272727273,1,1,-0.017825312
0000-0002-8963-0193,0,26,1,6,0.468085106,0,1,0.452549814
0000-0002-8985-1500,0,0,1,0,0,2,1,0.023809524
0000-0002-8985-8753,0,31,1,10,0,0,0,0.352112676
0000-0002-8989-6928,0,43,1,9,0.52238806,0,1,-0.150959488
0000-0002-9014-1282,0,0,1,0,0,2,1,0
0000-0002-9026-7221,0,0,1,0,0,2,1,0.05
0000-0002-9038-7207,1,0,1,0,0,0,1,0.055555556
0000-0002-9053-5249,0,10,1,8,0.214285714,0,0,0.041811847
0000-0002-9064-3418,0,0,1,0,0,1,1,0.028571429
0000-0002-9092-7808,0,23,1,5,0.319444444,3,1,-0.215996169
0000-0002-9103-9044,0,11,1,11,0.080645161,1,1,0.013104839
0000-0002-9111-8826,0,16,1,11,0.04109589,1,1,-0.04109589
0000-0002-9180-7322,1,3,1,3,0.108108108,0,0,0.000587544
0000-0002-9183-8364,0,16,1,6,0.333333333,1,1,-0.16091954
0000-0002-9206-6335,0,1,1,2,0.01754386,0,0,0.021671827
0000-0002-9210-0257,0,6,1,4,0.05,3,1,0.044339623
0000-0002-9212-1947,0,3,1,2,0.090909091,2,1,0.009090909
0000-0002-9228-1924,0,12,1,13,0.022222222,0,0,0.237037037
0000-0002-9239-0899,0,0,1,0,0,0,0,0.178571429
0000-0002-9240-156X,0,0,1,0,0,0,0,0
0000-0002-9261-0070,0,8,1,6,0.346153846,0,0,-0.346153846
0000-0002-9280-2718,0,15,1,4,0.05,0,0,0.482258065
0000-0002-9298-8778,0,56,1,8,0,0,1,0
0000-0002-9322-5246,1,4,1,4,0.0625,0,0,-0.0625
0000-0002-9352-3964,0,13,1,9,0.222222222,1,1,-0.222222222
0000-0002-9359-1465,0,6,1,5,0.070588235,2,1,-0.070588235
0000-0002-9361-9931,1,3,1,1,0.083333333,0,0,0.041666667
0000-0002-9396-4102,0,12,1,4,0.144578313,0,0,-0.144578313
0000-0002-9402-3523,0,3,1,5,0.027777778,1,1,0.065555556
0000-0002-9441-4006,0,40,1,8,0.622222222,0,1,0.492063492
0000-0002-9447-3786,0,20,1,9,0.208333333,1,1,-0.101666667
0000-0002-9448-1794,0,6,1,6,0.075,0,0,-0.0125
0000-0002-9461-2125,0,0,1,0,0,0,0,0.06
0000-0002-9475-5134,0,1,1,1,0,1,1,0.41509434
0000-0002-9485-1759,0,13,1,8,0.107142857,0,1,-0.019423559
0000-0002-9492-3425,1,6,1,4,0.037037037,0,1,-0.037037037
0000-0002-9493-305X,0,29,1,8,0.376470588,0,0,-0.261085973
0000-0002-9497-023X,1,1,1,3,0.020408163,0,0,-0.020408163
0000-0002-9511-7660,0,11,1,6,0.083333333,1,1,0.06920904
0000-0002-9517-6054,1,2,1,2,0.085714286,0,1,0.232467532
0000-0002-9542-8709,0,29,1,8,0.333333333,3,1,0.112612613
0000-0002-9603-1594,0,15,1,9,0.168831169,1,1,0.402597403
0000-0002-9606-2497,0,0,1,0,0.076923077,3,1,0.22974359
0000-0002-9644-8998,0,13,1,9,0.307692308,0,0,-0.224358974
0000-0002-9671-0909,0,3,1,2,0,0,1,0
0000-0002-9675-6296,0,0,1,0,0,0,0,0.047619048
0000-0002-9677-8778,0,35,1,13,0.225806452,0,1,0.210557185
0000-0002-9683-5162,0,1,1,3,0.0625,0,0,0.0875
0000-0002-9686-7965,0,33,1,7,0.414634146,3,0,-0.378919861
0000-0002-9718-9588,0,15,1,6,0.208333333,1,1,-0.047619048
0000-0002-9745-3510,0,10,1,5,0.178571429,0,1,-0.116071429
0000-0002-9753-6586,0,4,1,5,0,3,1,0.227272727
0000-0002-9760-6580,0,3,1,4,0,3,1,0.217821782
0000-0002-9780-4018,1,1,1,4,0,0,0,0.052631579
0000-0002-9796-5700,0,21,1,9,0.222222222,1,1,-0.138888889
0000-0002-9798-5242,0,11,1,8,0.107142857,0,1,-0.042626728
0000-0002-9815-5013,0,10,1,3,0.108433735,3,1,0.579066265
0000-0002-9852-7323,1,0,1,0,0.019230769,0,1,0.038461538
0000-0002-9874-511X,0,8,1,4,0.083333333,0,0,-0.07
0000-0002-9886-3570,0,23,1,12,0.059701493,1,1,0.073631841
0000-0002-9887-0914,0,35,1,8,0.101694915,1,1,-0.049063336
0000-0002-9898-054X,0,18,1,7,0.117647059,0,1,0.107352941
0000-0002-9905-7271,0,0,1,0,0,2,1,0.382978723
0000-0002-9921-0387,1,5,1,6,0.085106383,0,1,0.066408769
0000-0002-9934-1328,0,38,1,9,0,2,1,0.754385965
0000-0002-9938-941X,0,15,1,4,0.196969697,3,1,0.176524279
0000-0002-9955-1704,0,3,1,4,0,0,1,0.156862745
0000-0002-9957-6856,0,37,1,7,0,3,1,0.322916667
0000-0002-9960-9275,0,46,1,5,1,3,1,0.536585366
0000-0002-9972-8979,0,10,1,7,0,0,1,0.043478261
0000-0003-0026-8624,0,7,1,4,0.09375,1,1,0.05625
0000-0003-0177-4369,0,0,1,0,0,1,1,0.126436782
0000-0003-0191-726X,0,0,1,0,0,3,1,0
0000-0003-0205-7556,0,0,1,0,0,0,1,0.01369863
0000-0003-0284-105X,0,12,1,2,0.173913043,3,1,0.52271617
0000-0003-0288-1617,0,29,1,9,0,3,1,0.922222222
0000-0003-0303-7821,0,10,1,4,0.196078431,0,1,-0.089695453
0000-0003-0316-4257,0,3,1,5,0,0,1,0.071428571
0000-0003-0326-2674,0,15,1,8,0.243902439,1,1,0.079626973
0000-0003-0330-4846,0,13,1,6,0.108695652,3,1,-0.108695652
0000-0003-0331-2299,0,13,1,8,0.118644068,3,1,0.00956106
0000-0003-0344-8399,0,59,1,22,0.571428571,0,1,0.222222222
0000-0003-0346-5631,0,0,1,0,0,0,1,0
0000-0003-0366-4657,0,5,1,2,0,3,1,0.384615385
0000-0003-0391-7298,0,8,1,5,0.12,1,1,-0.12
0000-0003-0396-2021,0,7,1,2,0.082352941,2,1,0.044407622
0000-0003-0398-5063,0,24,1,9,0.203883495,0,0,-0.025312067
0000-0003-0404-4783,0,7,1,4,0.137254902,0,0,0.173089926
0000-0003-0406-1727,0,0,1,0,0,3,1,0.0125
0000-0003-0408-2923,0,6,1,5,0.032258065,3,1,0.14216054
0000-0003-0409-5118,0,11,1,9,0.084745763,0,0,-0.084745763
0000-0003-0423-7964,0,18,1,11,0.466666667,1,1,-0.193939394
0000-0003-0428-287X,0,25,1,6,0.261363636,1,1,0.608201581
0000-0003-0433-4190,0,24,1,4,0.72,1,1,0.000930233
0000-0003-0435-7755,1,5,1,7,0.046511628,0,1,0.026659104
0000-0003-0467-9180,0,15,1,9,0,1,1,0.297619048
0000-0003-0501-8843,0,22,1,8,0.261904762,2,1,0.150793651
0000-0003-0506-0451,0,30,1,9,0.6,0,1,0.203921569
0000-0003-0514-9464,0,5,1,5,0.108695652,0,1,-0.108695652
0000-0003-0557-6538,0,15,1,6,0.191780822,0,0,-0.016780822
0000-0003-0563-5841,1,0,1,0,0,0,1,0
0000-0003-0569-8105,0,5,1,4,0.111111111,0,0,0.138888889
0000-0003-0585-8519,0,106,1,10,0.5,1,1,0.984375
0000-0003-0615-7693,1,9,1,6,0.157894737,0,0,-0.157894737
0000-0003-0624-1692,1,9,1,5,0,0,0,0.666666667
0000-0003-0634-9492,0,0,1,1,0.024390244,0,1,-0.024390244
0000-0003-0643-2456,0,9,1,11,0.041666667,3,1,0.109848485
0000-0003-0650-5256,0,37,1,7,0.416666667,1,1,0
0000-0003-0657-0744,0,0,1,1,0,0,1,0
0000-0003-0706-8465,0,66,1,9,0.714285714,1,1,-0.036866359
0000-0003-0713-4688,0,42,1,9,0.434782609,0,0,-0.217391304
0000-0003-0725-2326,0,5,1,5,0,1,1,0
0000-0003-0736-8054,0,12,1,7,0.197368421,0,1,-0.167065391
0000-0003-0746-2366,1,5,1,3,0.113636364,0,1,-0.075174825
0000-0003-0757-2768,0,0,1,0,0,0,0,0.014705882
0000-0003-0759-1766,0,19,1,11,0.174418605,0,1,-0.109902476
0000-0003-0762-8645,0,0,1,0,0,0,1,0.116666667
0000-0003-0764-7889,0,53,1,8,0.097560976,0,0,1.102439024
0000-0003-0791-1635,0,0,1,0,0,3,1,0.016949153
0000-0003-0798-9811,0,2,1,2,0,0,1,0.042105263
0000-0003-0835-8317,0,8,1,10,0,2,1,0
0000-0003-0849-0692,0,4,1,4,0.020618557,3,1,-0.020618557
0000-0003-0916-9163,0,11,1,5,0.183673469,0,1,-0.183673469
0000-0003-0933-6101,1,3,1,1,0,0,0,0.153846154
0000-0003-0966-6362,0,39,1,7,0.325,1,1,-0.325
0000-0003-0973-1718,0,6,1,6,0.038461538,0,1,0.426327194
0000-0003-0985-4806,0,78,1,11,1.098039216,1,1,0.325689598
0000-0003-0998-1506,0,36,1,7,0,3,1,0.333333333
0000-0003-0998-4061,0,63,1,6,0,3,1,1.128712871
0000-0003-1012-4456,1,22,1,8,0.25862069,0,1,-0.25862069
0000-0003-1013-9594,0,2,1,3,0,3,1,0.076923077
0000-0003-1018-4336,0,60,1,10,0.736111111,3,1,-0.336111111
0000-0003-1029-3153,0,5,1,7,0.083333333,0,1,0.166666667
0000-0003-1032-6840,0,63,1,11,0.391304348,1,1,0.063241107
0000-0003-1039-849X,1,0,1,0,0.042553191,0,1,0.002901354
0000-0003-1041-5376,0,26,1,5,0,3,1,0.700854701
0000-0003-1054-4362,0,8,1,7,0.115384615,1,1,-0.115384615
0000-0003-1062-7731,0,25,1,8,0,3,1,0.206896552
0000-0003-1063-881X,0,9,1,7,0.111111111,0,1,0.138888889
0000-0003-1066-5471,0,6,1,9,0.076923077,2,1,-0.043024772
0000-0003-1069-9145,0,36,1,9,0.381443299,1,1,0.675160475
0000-0003-1078-8009,0,1,1,3,0,2,1,0.012820513
0000-0003-1080-4662,1,2,1,2,0.035087719,0,1,-0.000604961
0000-0003-1083-5813,0,6,1,5,0.166666667,0,0,-0.115819209
0000-0003-1091-0086,0,4,1,5,0.068965517,1,1,-0.033251232
0000-0003-1092-7785,0,33,1,8,0.194444444,1,1,-0.194444444
0000-0003-1109-6602,0,0,1,1,0.027777778,2,0,-0.027777778
0000-0003-1112-4378,0,2,1,12,0,0,1,0
0000-0003-1117-1238,0,18,1,6,0.473684211,0,1,0.038510911
0000-0003-1137-2355,0,26,1,7,0.256410256,3,1,1.133420252
0000-0003-1148-8235,0,4,1,1,0,1,1,0.280898876
0000-0003-1164-0364,1,0,1,0,0,0,1,0.066666667
0000-0003-1224-6561,0,27,1,6,0,3,1,1.778761062
0000-0003-1236-3047,0,0,1,0,0,0,1,0.030769231
0000-0003-1255-7183,0,39,1,8,0.493506494,2,1,-0.170925848
0000-0003-1271-7028,0,0,1,0,0,0,0,0
0000-0003-1281-8603,0,0,1,0,0.046511628,0,1,0.073488372
0000-0003-1289-8674,0,33,1,9,0,1,1,0.196721311
0000-0003-1316-3370,1,0,1,0,0,0,1,0.073170732
0000-0003-1341-8417,0,8,1,7,0.2,3,1,0.037288136
0000-0003-1353-9921,0,24,1,8,0.333333333,0,1,-0.181818182
0000-0003-1359-8913,1,10,1,7,0,0,1,0.5
0000-0003-1363-2747,0,0,1,0,0,3,1,0.015873016
0000-0003-1367-922X,0,6,1,5,0.1,0,0,0.042857143
0000-0003-1383-8972,0,27,1,8,0,3,1,0.595238095
0000-0003-1384-6024,0,13,1,7,0.03125,2,1,-0.03125
0000-0003-1385-1480,0,0,1,0,0,0,0,0.115384615
0000-0003-1412-0567,0,1,1,4,0,0,0,0
0000-0003-1432-6450,1,1,1,2,0.041666667,0,1,-0.041666667
0000-0003-1445-3468,0,19,1,7,0.027027027,1,1,0.294401544
0000-0003-1456-9049,0,73,1,13,0.333333333,3,0,0.685897436
0000-0003-1460-1846,1,26,1,5,0.380952381,0,0,-0.227106227
0000-0003-1467-7883,0,1,1,1,0,3,1,0.222222222
0000-0003-1489-0879,0,2,1,1,0.035087719,0,0,-0.035087719
0000-0003-1516-6081,0,12,1,8,0.107142857,1,1,0.041005291
0000-0003-1535-9879,1,2,1,2,0.041666667,0,0,0.009615385
0000-0003-1573-1079,1,0,1,0,0,0,1,0.016949153
0000-0003-1575-1934,0,60,1,12,0.166666667,1,1,0.333333333
0000-0003-1575-6583,0,11,1,7,0.090909091,0,0,0.090909091
0000-0003-1598-6856,0,38,1,10,0.25,3,1,0.416666667
0000-0003-1631-0479,0,0,1,0,0,0,0,0.037037037
0000-0003-1659-845X,0,63,1,11,0,3,1,0
0000-0003-1661-689X,0,34,1,9,0.625,0,1,-0.548076923
0000-0003-1668-6652,0,0,1,0,0,1,1,0.022222222
0000-0003-1684-4454,0,25,1,9,0,3,1,0.573333333
0000-0003-1713-5465,0,1,1,1,0.025641026,2,1,0.27991453
0000-0003-1720-0749,1,13,1,5,0.229166667,0,1,0.576388889
0000-0003-1738-9924,0,0,1,1,0.01754386,0,0,0.208871235
0000-0003-1743-5919,0,26,1,10,0.14516129,0,1,0.081253804
0000-0003-1753-7317,0,17,1,5,0.583333333,3,1,-0.091269841
0000-0003-1761-0158,0,13,1,5,0.234042553,0,0,-0.136481578
0000-0003-1789-2546,0,16,1,8,0.045454545,2,1,0.501715266
0000-0003-1805-5061,0,18,1,7,0.243902439,1,1,0.238856182
0000-0003-1853-8274,0,4,1,3,0.101449275,0,0,0.003813883
0000-0003-1876-3615,0,28,1,13,0.180722892,0,0,0.019277108
0000-0003-1889-5669,0,21,1,8,0.210526316,1,1,0.421052632
0000-0003-1891-8752,0,7,1,5,0,0,1,0.211864407
0000-0003-1902-3408,1,5,1,5,0.076923077,0,0,-0.076923077
0000-0003-1907-4627,0,1,1,2,0,1,1,0.137931034
0000-0003-1912-6992,0,16,1,10,0.019607843,2,1,0.094677871
0000-0003-1919-3677,0,2,1,2,0.093023256,2,1,0.096631917
0000-0003-1934-5802,1,3,1,4,0,0,1,0.2
0000-0003-1944-718X,0,17,1,9,0.333333333,0,0,0.138888889
0000-0003-1946-0501,1,0,1,0,0,0,0,0
0000-0003-1950-2679,0,1,1,1,0.042553191,0,0,0.057446809
0000-0003-1992-8282,0,1,1,2,0.0625,0,1,-0.001893939
0000-0003-2009-1053,0,21,1,7,0.361702128,1,1,-0.087192324
0000-0003-2014-7838,0,0,1,0,0,0,1,0.047619048
0000-0003-2017-6583,0,31,1,9,0,0,0,0.207207207
0000-0003-2018-1569,0,1,1,3,0.047619048,1,1,-0.016369048
0000-0003-2023-6478,0,0,1,0,0,2,1,0.13559322
0000-0003-2115-5055,1,8,1,3,0.152173913,0,0,-0.046910755
0000-0003-2120-7652,0,0,1,0,0,0,1,0
0000-0003-2167-5341,0,0,1,0,0,1,1,0.048076923
0000-0003-2180-3091,0,23,1,12,0.147058824,0,1,0.04859335
0000-0003-2195-2513,1,7,1,3,0.166666667,0,0,0.583333333
0000-0003-2208-8501,0,20,1,8,0.075471698,3,1,0.500799488
0000-0003-2211-5557,0,18,1,5,0.234567901,1,1,0.135802469
0000-0003-2239-9342,0,42,1,9,0.210526316,2,1,0.251012146
0000-0003-2269-4042,0,35,1,8,0.404494382,2,1,-0.071161049
0000-0003-2270-1759,0,6,1,4,0,0,0,0
0000-0003-2326-1919,0,0,1,0,0,2,1,0.02020202
0000-0003-2335-3506,0,0,1,0,0,3,0,0.041666667
0000-0003-2353-9079,1,3,1,3,0,0,0,0.19047619
0000-0003-2391-9493,0,1,1,2,0.01369863,0,1,0.01130137
0000-0003-2409-1181,1,12,1,6,0.136363636,0,0,-0.06969697
0000-0003-2429-4050,0,7,1,3,0.214285714,3,1,0.147416413
0000-0003-2457-1484,1,5,1,7,0.051724138,0,0,0.133461047
0000-0003-2458-3063,0,2,1,3,0,3,1,0.128712871
0000-0003-2476-2176,0,8,1,3,0,0,1,0.0625
0000-0003-2480-4436,1,1,1,3,0.016666667,0,0,0.002941176
