ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0001-8019-9707,0,0,1,1,0,3,1,0.024390244
0000-0001-8029-5416,0,0,1,1,0,3,1,0.112359551
0000-0001-8044-0409,0,14,1,10,0.166666667,1,1,-0.083333333
0000-0001-8056-0347,0,15,1,4,0,1,1,0.22972973
0000-0001-8085-9410,0,7,1,6,0.08045977,0,0,0.014778325
0000-0001-8097-4435,1,5,1,10,0.083333333,0,1,0.113636364
0000-0001-8101-2967,1,19,1,4,0,0,1,0.7
0000-0001-8125-9433,0,459,1,9,6.338983051,0,1,-2.52817224
0000-0001-8176-9951,0,23,1,10,0.238636364,1,1,0.170454545
0000-0001-8198-5267,0,62,1,7,0.86440678,3,1,0.68559322
0000-0001-8208-0558,0,37,1,9,0.211267606,1,1,0.438732394
0000-0001-8215-0958,1,15,1,8,0.114285714,0,0,0.314285714
0000-0001-8219-9970,0,26,1,5,0.266666667,0,0,0.241269841
0000-0001-8242-3581,0,17,1,9,0.103448276,3,0,0.06604325
0000-0001-8243-5267,0,22,1,7,0.291666667,2,1,0.513888889
0000-0001-8274-158X,0,9,1,3,0.363636364,0,0,-0.181818182
0000-0001-8279-944X,1,5,1,4,0.204081633,0,0,0.045918367
0000-0001-8286-300X,0,15,1,9,0.142857143,1,1,-0.105820106
0000-0001-8341-7132,1,7,1,9,0.055555556,0,1,0.035353535
0000-0001-8362-8087,0,7,1,5,0,0,0,0.117647059
0000-0001-8364-1898,0,1,1,1,0,3,1,0.020833333
0000-0001-8377-0227,0,0,1,0,0,0,0,0.041666667
0000-0001-8392-2980,0,19,1,11,0.15625,1,1,0.04375
0000-0001-8418-9274,0,0,1,0,0,1,1,0
0000-0001-8427-0304,1,3,1,4,0.027777778,0,0,-0.027777778
0000-0001-8467-7526,0,1,1,1,0.017857143,0,0,-0.017857143
0000-0001-8492-9965,0,11,1,6,0.120879121,1,1,-0.020879121
0000-0001-8509-4875,0,31,1,6,0.107142857,3,1,-0.107142857
0000-0001-8513-518X,0,63,1,9,0.779411765,3,1,-0.079411765
0000-0001-8525-7961,0,26,1,6,0,1,1,0.463157895
0000-0001-8527-0381,0,9,1,13,0.171428571,0,1,0.074185464
0000-0001-8528-8514,0,41,1,10,0.058823529,2,1,0.048319328
0000-0001-8529-2126,0,54,1,17,0.032258065,0,0,0.261859583
0000-0001-8532-1978,1,2,1,2,0.057142857,0,0,0.092857143
0000-0001-8567-6998,0,0,1,0,0,0,0,0.052631579
0000-0001-8595-5479,0,0,1,0,0,0,0,0
0000-0001-8610-9936,1,0,1,1,0.044444444,0,0,0.133333333
0000-0001-8624-9357,1,0,1,0,0,0,0,0
